Kultur Kategorien 2020;Kultur AUI;Total;Tal_Pflug;Tal_Mulch;Tal_Direkt;Berg_Pflug;Berg_Mulch;Berg_Direkt;hinzugefuegt
;Wintereiweisserbsen;0.085937668;0.113200632;0.090715194;0.064787725;0.061192443;0.043727864;0.04;
;Sommereiweisserbsen;0.094610107;0.104190404;0.070962388;0.057696803;0.084654176;0.08;0.078701242;
;Sommer/Wintereiweisserbsen;0.091719294;0.107193814;0.077546657;0.060060444;0.076833598;0.067909288;0.06;
;;;;;;;;;
;Winterackerbohnen;0.096478118;0.150578236;0.063747281;0.05;0.1;0.062657177;0.05;
;Sommerackerbohnen;0.102687927;0.107898327;0.100411724;0.06;0.1;0.08;0.06;
;Sommer/Winterackerbohnen;0.100617991;0.122124963;0.088190243;0.06;0.1;0.08;0.06;
Anderer Hanf;Hanf;0.244204947;0.11618616;0.1;0.08;0.12;0.08;0.06;12.11.2025
Baumschulen von Obst und Beeren;;0.01;0.01;0.01;0.01;0.01;0.01;0.01;12.11.2025
Bohnen und Wicken zur Körnergewinnung (z.B. Ackerbohnen) ;Sommer/Winterackerbohnen;0.100617991;0.122124963;0.088190243;0.06;0.1;0.08;0.06;12.11.2025
Erbsen zur Körnergewinnung (z.B. Eiweisserbsen);Sommer/Winterackerbohnen;0.100617991;0.122124963;0.088190243;0.06;0.1;0.08;0.06;12.11.2025
Hanf zur Fasernutzung ;Hanf;0.244204947;0.11618616;0.1;0.08;0.12;0.08;0.06;12.11.2025
Hanf zur Nutzung der Samen;Hanf;0.244204947;0.11618616;0.1;0.08;0.12;0.08;0.06;12.11.2025
Hartweizen;Winterweizen;0.113474907;0.123369369;0.10364141;0.05;0.10031099;0.074993468;0.05271373;12.11.2025
Hirse zur Körnergewinnung;Sommergerste;0.092409458;0.091686354;0.08;0.05;0.100250169;0.08;0.040579863;12.11.2025
Hirse zur Nutzung ganze Pflanze;Sommergerste;0.092409458;0.091686354;0.08;0.05;0.100250169;0.08;0.040579863;12.11.2025
Kichererbsen;Linsen;0.1;0.1;0.08;0.05;0.1;0.08;0.05;12.11.2025
Lupinen;;0.1;0.1;0.08;0.05;0.1;0.08;0.05;12.11.2025
Mischungen von Bohnen, Wicken, Erbsen, Kichererbsen und Lupinen mit Getreide oder Leindotter, mindestens 30 % Anteil Leguminosen bei der Ernte (zur Körnergewinnung);Sommer/Winterackerbohnen;0.100617991;0.122124963;0.088190243;0.06;0.1;0.08;0.06;12.11.2025
Mischungen von Linsen mit Getreide oder Leindotter, mindestens 30 % Anteil Linsen bei der Ernte (zur Körnergewinnung);Sommer/Winterackerbohnen;0.100617991;0.122124963;0.088190243;0.06;0.1;0.08;0.06;12.11.2025
Nassreis;Reis;0.1;0.1;0.08;0.05;0.1;0.08;0.05;12.11.2025
Nützlingsstreifen auf offener Ackerfläche;wie Blühstreifen;0.05;0.05;0.04;0.03;0.05;0.04;0.03;12.11.2025
Obstanlagen aggregiert;;0.01;0.01;0.01;0.01;0.01;0.01;0.01;12.11.2025
Regionsspezifische Biodiversitätsförderflächen;wie Blühstreifen;0.05;0.05;0.04;0.03;0.05;0.04;0.03;12.11.2025
Sorghum zur Körnergewinnung;Silomais;0.146837788;0.173823564;0.079906304;0.058474857;0.150541841;0.063607859;0.042660687;12.11.2025
Sorghum zur Nutzung ganze Pflanze;Silomais;0.146837788;0.173823564;0.079906304;0.058474857;0.150541841;0.063607859;0.042660687;12.11.2025
Streueflächen in der landwirtschaftlichen Nutzfläche;;0.03;0.03;0.03;0.03;0.03;0.03;0.03;12.11.2025
Trockenreis;Reis;0.1;0.1;0.08;0.05;0.1;0.08;0.05;12.11.2025
Übrige Baumschulen (Rosen, Zierstauden, usw.);;0.01;0.01;0.01;0.01;0.01;0.01;0.01;12.11.2025
Übrige Dauerkulturen, beitragsberechtigt, aggregiert;;0.01;0.01;0.01;0.01;0.01;0.01;0.01;12.11.2025
Uferwiesen (ohne Weiden);;0.004;0.004;0.004;0.004;0.004;0.004;0.004;12.11.2025
Ölkürbisse;wie Gemüse;0.35;0.35;0.3;0.2;0.4;0.3;0.2;12.11.2025
